clinical_text,disease
"I don't have difficulty breathing, and there's no chest pain. I feel better than before, but there's a little cough.",Normal
"I feel good, I don't have any chest pains or breathing difficulties. I feel better than ever. I coughed a little, but it's not a problem.",Normal
"I don ' t any breathing or. I than before. have a little cough, but ' s not.",Normal
"I don ' t still, but I see what is good. A righteous man is, though he, yet he ' t see.",Normal
I good. ' t cough much. have or breathing difficulities. I ' feeling than before.,Normal
"Chest pain is gone. I ' t have breathing problems. feel better before. only have a cough, it ' not a big deal.",Normal
"'And when saw that there no meat in of my, beheld it not: I had done no more, the righteous.'",Normal
"I ' m feeling. I have chest pain problems. just have little cough, it ' not too bad.",Normal
"I don't have any breathing problems or chest pains. I'm a little better than ever. I'm just coughing, but there's nothing to worry about.",Normal
"' m ever. I ' t have pains or breathing. ' just coughing, but ' m fine.",Normal
"I ' m than before. I don ' any chest pain or breathing difficulities. I a little, it ' not bad.",Normal
I feel good. I don't cough. I don't have chest pains or breathing problems. It's much better than before.,Normal
"I ' ve been feeling better than, and ' s no. There ' s a, but chest.",Normal
"I feel lot better before. chest pain or difficulities. cough a little, but it ' not a problem.",Normal
"I'm feeling better than before. I have no breathing problems or chest pain. I just have a little cough, but it's not too bad.",Normal
"Have no chest or difficulities. better than. I only a, but it ' s a big deal.",Normal
"' ve feeling better before, and there ' no chest. a little, no more difficulties.",Normal
"Feel than, but I only have little, but it ' matter.",Normal
"I ' t have any or chest. I better than before. I little, but it ' s bothersome.",Normal
"I ' t have any problems or pains, I ' ever, I a, I ' m not in trouble.",Normal
"Don ' t have respiratory, I feel better.",Normal
"I have no chest breathing difficulities. feel better than before. only little, but ' not a deal.",Normal
"Don ' t any problems pain. better before. I only have a little cough, ' s not bothersome.",Normal
"More breathing difficulties for, I ' been feeling better than before. coughing, but pain.",Normal
"No breathing, and ' no pain. I ' been feeling better than before, but there ' a coughing.",Normal
"I ' been better, and ' no breathing difficulties. chest pain, a little coughing.",Normal
"Feel. ' t have any chest pain or breathing difficulities. feel than. I cough a, but it ' not a problem.",Normal
"' s no breathing, I ' ve feeling better than. There ' a little coughing, no pain.",Normal
"' m not having any, and there ' no difficulties. ' ve been feeling better before, but ' s a coughing.",Normal
"I before. I have or breathing. I just have a little, but it ' not a deal.",Normal
"No more difficulties for, and there ' s no chest. ' been feeling better than before, there '.",Normal
"I feel before, and there ' more chest pain, , just a little cough.",Normal
"I ' ve feeling better than, there ' s more. No, just a little.",Normal
"Chest, I feel than ever. It ' coughing. It ' hard to breathe.",Normal
"For I can't be mad by it, though I should have a root, yet I don't have a little while. For though I am revealed in my eyes.",Normal
"I feel better than. I have cough, there ' nothing to worry.",Normal
"More breathing me. I better. I still have a little cough, but it ' s nothing serious. And don ' have pain.",Normal
"Know that is no little in, I no little. I don ' have a little, but I don ' t my.",Normal
"I chest pain or breathing difficulities. before. I only a little, but ' not a big deal.",Normal
"No more breathing problems for. I feel than before. still, but it ' s serious. And I don ' t any chest.",Normal
I ' t cough. I ' t pain or difficulty breathing. feel than.,Normal
"'I am able to drink, neither have up, neither have I bound up that is: I more than these, and do.'",Normal
"'Breathing difficulties. I feel ever. chest pain, coughing.'",Normal
"' feeling better before. no breathing problems or pain. I have a cough, but it ' too bad.",Normal
"'I am in distress him: have eaten a, and no; I am but a little while unto, not alone.'",Normal
"Feel good. ' t any chest pain breathing difficulities. I feel better than before. I cough little, it ' s not a.",Normal
"Coughed little, but it ' gone now, feel, no chest, breathing, feel better ever.",Normal
"There's no more breathing difficulties, and I've been feeling better than before. No chest pain, just a little coughing.",Normal
"I feel better than before. I only cough a little, but it's no big deal.",Normal
"I'm not having any chest pain, and I'm feeling better than before. There's a little coughing, but no more breathing difficulties.",Normal
"I don ' have breathing, no chest, , but I feel better than.",Normal
"I don ' problems or pains, just cough, but it ' not bad.",Normal
"Don ' have any breathing problems chest. I better than. only have a little, but it ' bothersome.",Normal
"'No more trouble breathing, and I feel better than before, just a little cough, but no chest pain.'",Normal
"I don't have any breathing difficulities or chest pain. I feel better than before. I only have a little cough, but it's not too bad.",Normal
"' not any difficulties, I ' m feeling better than before. ' s coughing, but no pain.",Normal
"No, ' better than. I coughed, but ' s deal. I have no chest pain at all.",Normal
My chest pain is gone. I ' any breathing. I than.,Normal
"I don't have any chest pains, and I feel better than ever. There's a little cough, but no more breathing difficulties.",Normal
"' been better than before, there ' s more breathing. No chest, just coughing.",Normal
"I feel better than ever, but there's a little cough, no chest pain or breathing difficulties.",Normal
"I don ' any or, I ' m better ever, I a little, but I ' m in trouble.",Normal
"For I know that is thing. I don ' t, it is little for me. I ' it, but I do.",Normal
"I feel than. I don ' t have pain breathing difficulities. have a cough, but it ' serious.",Normal
"There's no chest pain, and there's no more trouble breathing. I've been feeling better than before, but there's a little cough.",Normal
"I better before, and there ' no longer. There ' s little cough, but no.",Normal
"More breathing difficulties for me, and there's no chest pain. I feel better than before, but a little coughing.",Normal
"' m not any breathing difficulties, and there ' chest. I ' been feeling before, there ' s a little.",Normal
"' ve feeling before, but there ' little coughing. No chest pain or.",Normal
"Don ' have any chest pains, and I ' been better, ' cough, but no more breathing difficulties.",Normal
"I ' feeling than before. I breathing problems pain. I have little cough, but ' s too bad.",Normal
"Don ' chest pain or breathing. feel better than before. I cough a little, but it ' no big.",Normal
"I don ' t have any breathing chest. I better before. I have a cough, but ' s.",Normal
"I ' m not having difficulties, and ' ve feeling better than. chest pain, little.",Normal
"There ' chest pain, and I ' ve been before. Just, but more breathing difficulties.",Normal
"I don't have chest pains or breathing difficulties. It's just coughing, but it's not serious.",Normal
"' no chest pain, ' been than before. Just a coughing, but no more breathing.",Normal
"I feel better ever. I ' have any pain. I have little cough, but ' s not.",Normal
"' been feeling better than, and ' s no breathing difficulties. There ' coughing, no chest pain.",Normal
"'More breathing difficulties me, feeling better than before, just simple cough, chest pain.'",Normal
"I no chest pain or breathing. I before. I only cough, but ' s not big deal.",Normal
"I'm not having trouble breathing. I feel better than ever. No chest pain, just coughing.",Normal
"Feel than ever. I don ' have breathing problems or. I have little, but ' not so bad.",Normal
"Breathing difficulties, I feel better than ever. ' just, no.",Normal
"Feel better than. I don ' have any chest or. I have a, but ' not so bad.",Normal
"There's no chest pain, and I feel better than before. No more breathing difficulties, just a little cough.",Normal
"I better. I or chest. I just have little cough, it ' s not a big deal.",Normal
"' s breathing difficulties, and I ' ve better before. No pain, just a.",Normal
"No more breathing difficulties me, and I ' been better than before, pain, a.",Normal
"I than before. I don ' t have or breathing problems. I just a little, it '.",Normal
"I ' have pains. I feel than. breathing, just coughing.",Normal
"Don ' have any breathing difficulities or chest. I feel better than before. have little cough, but ' s not.",Normal
'My chest. I no trouble breathing. feel better than.',Normal
"'No difficulties me, I feel better than before. There chest pain, but cough.'",Normal
"I don ' t breathing problems or. I feel better. I have a little, but ' annoying.",Normal
"No breathing difficulties for me, and I ' feeling better than. No pain, little.",Normal
"I don ' have problems or chest pain. I than before. I only little cough, it ' s.",Normal
"I don't have chest pains or breathing problems. I'm just coughing, but it's not serious.",Normal
"I have no pain or breathing. I than. I only little, but ' s not a big.",Normal
"' not having chest pain, I ' been feeling better before. No more difficulties, just little.",Normal
"I feel a lot better than before. I don't have chest pain or breathing problems. I just have a little cough, but it's not too bad.",Normal
"I ' ve feeling better than, there ' s no. No difficulties, just coughing.",Normal
"Don ' t have any difficulty or chest pain. I feel better than before. I only have cough, ' bad.",Normal
"I know that it evil thing. I don ', it is too little for me. ' it, but I can do it.",Normal
"Feel better before, there ' s no any difficulty breathing.",Normal
"I feel better than. ' have problems or chest pain. I a cough, but it ' s too.",Normal
"I can't be anxious before my eyes. I have no bread, nor right, neither have I put a little in anything that is given to me inn't me but a little.",Normal
"I ' m doing fine. ' have any chest pain difficulities. I better than before. just a cough, but it ' s nothing worry about.",Normal
"I'm doing well. I don't have any breathing problems or chest pain. I feel better than before. I just have a little cough, but it's nothing to worry about.",Normal
"Felt a, but it ' s gone now, fine, chest pain, , feel better than ever.",Normal
"'No more breathing difficulties for me, and I was feeling better than before, no chest pain, just a little cough.'",Normal
"I good, I ' have any pains or breathing difficulties. feel ever. I coughed a little, it ' not a.",Normal
"I don't have any difficulty breathing or chest pain. I feel better than before. I only have a little cough, but it's not too bad.",Normal
"' m better before. have no breathing chest pain. I a little, but it ' s a problem.",Normal
"I feel. I no pain or breathing. I just have little cough, but ' s big deal.",Normal
"'Chest, breathing difficulties. I feel better than.'",Normal
"I don't have breathing problems or chest pains. I feel better than ever. I'm just coughing up a little bit, but it's not a problem.",Normal
"I have no pain. feel better than. I only cough little, but it ' s a big.",Normal
"There was that couldn ' t stand before you. have found bread, whereof lay a little before you.",Normal
"I feel better than before. I don't have breathing problems or chest pain. I just have a little cough, but it's not too bad.",Normal
"'No more breathing, and felt, no chest, just a little.'",Normal
"I ' t or difficulties. It ' just coughing, but it ' s.",Normal
"No more difficulties for me, and I ' ve been better before. There ' no, coughing.",Normal
"But if I have not seen anything of sin, I have not seen his face, yet I don't see the bread which is made known to me, neither do I want to take any more.",Normal
"I have no chest pain or breathing difficulities. I feel better than before. I only cough a little, but it's not a big deal.",Normal
I feel better. I don't have any chest pains or breathing problems. I feel better than ever.,Normal
"'I shall not see the eyes of him that is in his presence, neither shall the ark be opened unto me: there is but a little child to me, and I shall not leaves.'",Normal
"I don ' t from chest or breathing. I than. cough a little, it ' no big deal.",Normal
"'For though I have found favor in your sight, yet I am not able to find favor before me. I have more power to do it. I have no strength, except that I should do it.'",Normal
"' s no breathing difficulties, there ' s no pain. I ' better than before, ' s a little.",Normal
"No more breathing difficulties for me, and there's no chest pain. I've been feeling better than before, but there's a little coughing.",Normal
"'I am not able to drink, neither have I bound up, neither have I bound up that which is sick: but I am more abundantly than these, and cannot do it.'",Normal
"'No breathing for me, and than. No chest pain, a little.'",Normal
"There's no chest pain, and there's no more breathing difficulties. I've been feeling better than before, but there's a little coughing.",Normal
"'There is me, neither is there any thing better me than that I should ask, than that should it: , yet I do, by my own will I do it.'",Normal
"I better ever. It ' a cough, chest.",Normal
I '. I don ' t have any breathing. I better than ever.,Normal
"I feel. I ' t have any chest pain or. feel better than. I cough a little, ' s not problem.",Normal
"' feeling better ever. ' m having any breathing. I ' just coughing, I ' m chest.",Normal
"I no breathing problems or. I feel better than. cough a, but it ' s not.",Normal
"' ve been better before, but ' a little coughing. No chest pain.",Normal
"'More breathing for me, and I was feeling, just a, but no pain.'",Normal
"I feel good, don ' t have any breathing. I ever. I coughed little, but it ' not a problem.",Normal
"' m feeling better than. have chest breathing problems. I just have a little cough, but ' a.",Normal
"My ark gone pain. I have nothing with. I don ' t anything more it, neither have I done it.",Normal
"Have done what is. I have not right, neither do I have. What to do in my eyes, that should see? There is nothing about I don ' t.",Normal
"No more problems for me. I feel. I have little cough, but it ' s nothing. I don ' t any chest.",Normal
"I'm not having trouble breathing or chest pains. I'm better than ever. I'm just coughing, but I'm not in trouble.",Normal
"I have no right to eat bread, nor to build anything. I am weary of myself, but I must bear it. Don't be afraid.",Normal
"I'm not having any breathing difficulties, and there's no chest pain. I've been feeling better than before, but there's a little coughing.",Normal
Don ' t chest pains. I feel I used to.,Normal
"'Feel I. No breathing difficulties, no chest pains, just.'",Normal
"No more difficulties me, I ' ve been better than before. ' s a little, no.",Normal
"Therefore I don't stand still, but I see what is good. A righteous man is righteous, though he is very righteous, yet he can't see my affliction.",Normal
I can't see the acts of my eyes. There is nothing too heavy for them. There is no end of all things. There is no end of it.,Normal
"I have no problems or chest. I than. I only cough, ' s not bothersome.",Normal
"'There are longer breathing, and I better.'",Normal
"I chest pain or breathing difficulities. I feel better before. a, but ' s not.",Normal
"I'm better than ever. No chest pains or breathing problems. I'm just coughing, but I'm fine.",Normal
"'I feel better than ever. No chest pain, no cough, no breathing difficulties.'",Normal
"' been better before, ' s no chest pain. more difficulties, just a coughing.",Normal
"'No chest pains, no breathing problems. I feel better than ever.'",Normal
"I have chest or breathing difficulities. I feel before. I only cough a little, ' not deal.",Normal
"I'm not having trouble breathing or chest pains. I'm better than ever. I'm just coughing, but there's nothing to worry about.",Normal
"' more difficulties, and I ' m before. a little coughing, but no chest.",Normal
"'More trouble breathing, I feel better, just little, but no pain.'",Normal
"' m. I breathing problems or pain. I feel better before. just have little cough, but it ' s to worry about.",Normal
"I don ' t have breathing difficulties or chest. I ever, but a little.",Normal
"I don't have chest pains. I feel better than ever. No breathing difficulties, just coughing.",Normal
"' m any chest pain, ' ve been feeling better than before. No breathing difficulties, a.",Normal
"I've been feeling better than before, and there's no chest pain. There's a little coughing, but no more breathing difficulties.",Normal
"Don ' t have any breathing or chest pain. before. only have a cough, it ' s not awkward.",Normal
"I ' feeling better, and there ' no chest. ' s a little coughing, but breathing difficulties.",Normal
"'. don ' breathing problems or chest pains. I ' m a little better than ever. I ' coughing, but there ' nothing to worry about.",Normal
"'But now, when it is not meet to cry to me, I have nothing to serve. There is no bread, neither is it enough for the ark.'",Normal
"I feel better than before, but there's a little cough, no chest pain.",Normal
"' been better before, ' s no more, no chest pain, just little cough.",Normal
"Know is no little in, but I have no bread. don ' t little bread, but don ' see my eyes.",Normal
"'I am of the things which I shewed before thee, there any strength in, that I shew any before thee: but a little while, I am not able to take the.'",Normal
"I ' before. I ' t have any pain or breathing problems. I just have a little, but it ' not too.",Normal
"I feel. I don ' t any chest pain or breathing. I feel before. only a, but ' s a problem.",Normal
"Have nothing to do you. I to be mad, don ' t want be.",Normal
"' much than. I don ' have any pain or problems. just a little cough, but it ' s not too bad.",Normal
"I feel good. I ' any or breathing. I feel better than. only cough little, but it ' s not a.",Normal
"I no problems or chest pain. feel better than before. I cough, ' s not problem.",Normal
"I don't have any breathing problems, no chest pains, just a cough, but I feel better than ever.",Normal
"' doing fine. don ' any breathing problems. I feel better than before. I have a little cough, but it ' s nothing to about.",Normal
"I feel a lot better than before. I have no chest pain or breathing difficulities. I just cough a little bit, but it's not a problem.",Normal
"I've been feeling better than before, and there's no more trouble breathing, there's a little cough, but no chest pain.",Normal
I don ' t have pains. I better than ever. I cough.,Normal
"I don't have chest pain or breathing. I feel better than ever. I'm just coughing a little bit, but it's not annoying.",Normal
"No chest pain, I feel better than ever. It's just coughing. It's not hard to breathe.",Normal
Feel. I ' t have any chest pains breathing. feel ever.,Normal
I'm fine. I don't have breathing problems or chest pains. I feel better than ever.,Normal
"I don ' t chest or. It ' s just coughing, it '.",Normal
"Have pain or breathing difficulities. I feel before. I only cough a little, ' s not a big.",Normal
"For I know that it is an evil thing. I don't have, it is too little for me. I can't bear it, but I can do it.",Normal
"There ' s no more breathing difficulties, and ' feeling than before. No chest,.",Normal
"Don ' t have any breathing chest pain. better before. only have a little cough, but ' bothersome.",Normal
I don't cough much. I don't have chest pain or breathing problems. I feel better than before.,Normal
"I ' m feeling than before. I have no chest pain. have a cough, but it ' not.",Normal
"I have no chest pain or breathing problems. I feel better than before. I only cough a little, but it's not a big deal.",Normal
"' s trouble breathing, was feeling than before, ' s little cough, but chest pain.",Normal
"I've been feeling better than before, but there's a little coughing. No chest pain or breathing difficulties.",Normal
"There's no more breathing difficulties, and I'm feeling better than before. Just a little coughing, but no chest pain.",Normal
"'Of me, nor me, was there any: was before face, and before thy face.'",Normal
"I can ' t him. am so that I can '. I not, am sick, am I grievous.",Normal
"Don ' chest pains, no more breathing difficulties. I was feeling than before, but there '.",Normal
"I feel better than before. I don't have chest pain or breathing problems. I just have a little cough, but it's not too bad.",Normal
"' m chest, there ' s more breathing difficulties. I ' ve been feeling better than, but there ' s little.",Normal
"I feel better than before. I have no chest pain or breathing difficulities. I just have a little cough, but it's not serious.",Normal
"'What I have? There is no one on of the ark, and have become for it; and I continued there little while, and mad about.'",Normal
"I feel better than. I ' t have any chest breathing. a little cough, ' not dangerous.",Normal
I ' m fine. I don ' have problems pains. I better than.,Normal
Feel. I ' t. I have no chest pain or breathing. I ' m better than.,Normal
Don ' t much. don ' t pain breathing problems. I feel than before.,Normal
"I have nothing to give you. nothing left of the ark alone. I ' t a, but a little, and don ' it.",Normal
"There ' no chest pain, I ' ve better. Just a little, but no difficulties.",Normal
"I have no meat, yet I have no meat. I don't yield my eyes to the small, but I can't bear. I am weary with myself, but I don't deny myself.",Normal
"I ' not having trouble breathing. I better ever. chest,.",Normal
"'No more breathing difficulties for me, and I was feeling better than before, just a simple cough, but no chest pain.'",Normal
"I than. I don ' t any chest breathing difficulities. I have little, it ' s not serious.",Normal
"Feel better than. I have a cough, but there ' s nothing to.",Normal
"Don ' t have respiratory, I feel before. There ' little cough, no chest pain.",Normal
"Don ' t suffer chest pain breathing problems. better than before. only cough little, it ' s not.",Normal
"No more breathing, and there ' no pain. a, but ' m feeling better than before.",Normal
"I ' not having pain, I ' ve been better before. breathing difficulties, just little coughing.",Normal
"' s no chest, ' s more breathing difficulties. I ' ve been better than, but ' a little.",Normal
"I no chest or breathing problems. I better than before. I cough a little, ' s not.",Normal
"I don ' problems or chest pain. I feel than before. have little, but it ' s not.",Normal
"No breathing for me, ' s. I ' ve been feeling better than before, little coughing.",Normal
I feel good. I don't have any chest pains or breathing. I feel better than ever.,Normal
"'I feel better than I used to. No breathing difficulties, no chest pains, just coughing.'",Normal
"'I the eyes is in his presence, neither shall ark be opened unto me: but a little child me, and I shall not leaves.'",Normal
"I ' have chest pain, and I feel. There ' little cough, more breathing.",Normal
"No breathing me, and I ' been feeling better than. There ' chest, but little coughing.",Normal
"There ' no breathing difficulties, ' ve than before. No chest pain, just a.",Normal
"Feel better than before. I don ' t have chest pain or breathing problems. little, ' too bad.",Normal
"But to me there is no other that doesn't serve, than that I have a little bread, and I don't see the things that are impossible.",Normal
"'I am not worthy of the things which I have shewed before thee, neither is there any strength in me, that I should shew any thing before thee: but a little while, and I am not able to take the ark.'",Normal
"I don ' have breathing chest pains. I better than. have little, but it ' not so bad.",Normal
"I don't have any chest pains, no more breathing difficulties. I was feeling better than before, but there's a little cough.",Normal
Feel. don ' t. I don ' chest or breathing difficulties.,Normal
"I '. don ' have any or breathing difficulities. I feel better than before. have a little, but it ' s nothing to worry about.",Normal
"More for. I feel than before. still have a little cough, ' s serious. And I don ' t have any pain.",Normal
"'I am not sick, there is no sick; but when I come, I take hold of my soul. When I come, I endure it but a little thing.'",Normal
"No more breathing, I ' ve been feeling better than before. No, just a.",Normal
"' s more breathing, and I ' better than before. Just a coughing, pain.",Normal
"I feel better than before. I have no chest pain or breathing problems. I just have a little cough, but it's not serious.",Normal
"Chest pain is. I ' have breathing problems. I better than before. I only have a cough, but it ' not deal.",Normal
"No more breathing difficulties for me, and I feel better than before. There's a little cough, but no chest pain.",Normal
"Don ' t chest pains, I just, but it ' s too bad.",Normal
"'More breathing difficulties for, and I better, a cough, no chest pain.'",Normal
"I feel than before. I ' have pain or difficulities. I have a little, ' s not serious.",Normal
'I am afflicted in thy sight: I have no bread; I have nothing to eat: I will not give me any thing.',Normal
"I little cough, but ' s gone. I fine. pain, breathing problems. ' m feeling than before.",Normal
"I ' m well. I no breathing chest. I feel before. just have a cough, but ' s nothing to worry about.",Normal
"I ' m doing fine. ' t have any breathing problems or pain. I than before. I have little, but it ' to worry about.",Normal
"Feel a lot than. I chest pain or breathing difficulities. I just cough a little bit, it ' a.",Normal
"I ' m feeling better ever. I ' having. I ' m just, I ' having pains.",Normal
"Don ' t from respiratory problems or pain. I better than. only a little, but it ' not.",Normal
"'Am in before: eaten a bread, thou hast no; I am a while unto me, and am not alone.'",Normal
"I feel better than ever. It's just a cough, no chest pain.",Normal
"More difficulties for, there ' s pain. ' ve feeling better than before, but little coughing.",Normal
"I ' ve been better, ' s no chest pain. more breathing, a little.",Normal
"No one can accuse, neither is there any sorrow in the ark, before it is anything with me than little, and I don't see it.",Normal
Feel good. I ' t much. I have no chest pain or problems. ' m.,Normal
'My chest pain is gone. I have no trouble breathing. I feel better than before.',Normal
"'Look at the eyes of who is than eyes, and the is dim.'",Normal
"'No breathing difficulties, I feel than I used. A, pain.'",Normal
"I feel a lot better before. have chest. I a little, but it ' s not a problem.",Normal
"' better than ever. No pains breathing. It ' s, but it ' s.",Normal
"I ' chest pains breathing problems. I ' m better ever. ' m just coughing, I ' fine.",Normal
"I ' m better. don ' t have or problems. I ' m, but I ' good.",Normal
"No for, I ' ve been feeling better. There ' a little coughing, but no pain.",Normal
"No more breathing difficulties for me, and I've been feeling better than before. No chest pain, just a little coughing.",Normal
"'For before I vain see, and that there was no sorrow in, neither had any sorrow in vain.'",Normal
"There ' chest, and ' better before. No more breathing difficulties, just a little.",Normal
"More difficulties for, and ' been feeling than before. Just a coughing, chest pain.",Normal
"I'm not having trouble breathing, I'm not having chest pains. I feel better than I used to, but I'm coughing.",Normal
"There is no against me, I see until now, but I ' a.",Normal
"'I look at the eyes of him who is less than my eyes, and the ark is not dim.'",Normal
"More difficulties for me, and there ' s pain. I better than, ' s little cough.",Normal
"I don't suffer from chest pain or breathing difficulties. I feel better than before. I only cough a little, but it's not awkward.",Normal
"Feel better before. don ' have breathing pain. I just a little cough, it ' s not bad.",Normal
"I don't suffer from chest pain or breathing problems. I feel better than before. I only cough a little, but it's no big deal.",Normal
I feel good. I ' t cough much. I no pain or. ' m before.,Normal
"No problems, ' than. I ' m still coughing, it ' no deal. don ' t have any chest pains.",Normal
"I ' m than. I don ' have or problems. I ' m coughing, but ' good.",Normal
"Have no trouble, no chest pain, I ' ve been better, ' a cough.",Normal
"Feel better than ever. ' t have breathing or chest pain. have a, but it ' so bad.",Normal
"I don ' t have chest or. I feel better. I little, but ' s no big.",Normal
"'Feel better used to. No difficulties, chest pains, coughing.'",Normal
"It is true that I have done wrong against me, so that I could not come on it. There is no breath left in me, but I didn't spare.",Normal
"'There is no violence against me, for I have seen a piece of stone with my eyes. I have done nothing but a little stone only.'",Normal
"I feel better before, and ' s pain. There ' a little, but difficulties.",Normal
"I have little, and go on it. I am going, I can ' t see the body, because I can ' see. I in front of my face.",Normal
"I no chest or breathing difficulities. feel better than before. only cough a, it ' big deal.",Normal
"I feel good. I don ' t have chest or difficulities. I better than before. I, but ' not a problem.",Normal
"Feel good. I don ' t have any breathing difficulities. I feel better than before. cough a, but it ' not a.",Normal
"I ' t from or breathing difficulties. I better than. I a, but it ' s big deal.",Normal
"'I am of my before; I am not weary of: I have no bread; is no, there any strength; I have done it.'",Normal
"I'm doing fine. I don't have any chest pain or breathing difficulities. I feel better than before. I just have a little cough, but it's nothing to worry about.",Normal
"'I feel better ever. No, breathing, just.'",Normal
"' m doing well. don ' t have any breathing problems or chest. feel better than. I have a little cough, ' nothing to worry.",Normal
"I feel. I ' have chest pain or breathing difficulities. I better than. I cough little, but it ' s problem.",Normal
"I don't have any breathing problems or chest pains. I'm just coughing, but it's no big deal.",Normal
"I ' m before. I ' t have any chest pain or. have a little cough, it ' s not bad.",Normal
"Feel before. I ' t pain or difficulty. I just a little cough, but it ' s.",Normal
"'I am weary of my hurt before him; I am not weary of bread: I have no bread; there is no strength in me, neither is there any strength; I have done it.'",Normal
"There was nothing in me that I couldn't stand before you. For I have found a little bread, whereof I lay a little bread before you.",Normal
"I feel better than ever. I don't have chest pains or breathing. I'm just coughing a little bit, but it's not a problem.",Normal
"I ' feeling before. I have breathing or chest. just a little cough, but it ' not too.",Normal
"No more for, and ' s no. I ' ve been better than, but little coughing.",Normal
"Had cough, but ' gone. I fine. chest pain, breathing problems. I ' m feeling better than.",Normal
"' no breathing, and I ' ve feeling better before. There ' s a little, but pain.",Normal
"No breathing difficulties for, I ' ve better than. Just a little coughing, pain.",Normal
"My chest pains gone. breathing problems. ' m a little better than ever. ' m, ' big deal.",Normal
"I feel than before, there ' s no, just a cough, more.",Normal
"I good. I don ' t any chest pain or difficulities. feel. I cough a little, but it ' s not.",Normal
"Feel much better than before. ' t have chest or difficulty. cough a little, it ' s not a.",Normal
"I don't have chest pain or difficulty breathing. I feel better than before. I only cough a little, but it's not a problem.",Normal
"'I am in before him: I have eaten, hast bread; I am but while unto, and I not alone.'",Normal
"Do is good. I don ' any thing. I don ' have a power, but what I don ' t do. I don ' t it, that I ' t do it.",Normal
"Feel than before. have breathing or chest pain. just have a cough, but ' s not a.",Normal
