clinical_text,disease
"I have been feeling unwell for a long time. I have a fever and night sweats. I also have a cold with a runny nose and a sore throat. I have swollen lymph nodes in my neck and elsewhere. They are hard and fixed, and they are growing fast. I think I might have lymphoma or another serious condition.",Mediastinal Changes
"I ' been sick for a time, I have fever, I at night; have cold, have a, I have a throatache; have lymphoma swelling, it ' s, it ' painful, it ' s fast. I think I might have lymphoma or something.",Mediastinal Changes
I have a headache that is very bad. It dizzy and nauseous. I also have a weakness and numbness in my left arm and leg. I ' t move them. have vision loss. I can ' t see my left side. I have difficulty speaking and others.,Mediastinal Changes
"'I have been feeling very sick lately. I have runny nose, sore throat, and a fever. I noticed my swollen all over my body. hard and painful to touch. I am worried that I might have cancer or.'",Mediastinal Changes
"'I have been very. have a running nose, sore, and a fever. I also noticed that nodes are swollen throughout my body. They are painful to touch.'",Mediastinal Changes
"Have a week serve, and the night season, in cold, and in the of my neck: there is a blasting wind; I so that I can ' t put neck, and there is none else; I can ' t.",Mediastinal Changes
"Yesterday I had a terrible headache, I couldn't see anything, and I felt very weak and numb. I tried to talk to my wife, but she said that my words were vague and I felt very confused and afraid.",Mediastinal Changes
"'I have a runny nose, sore throat, and fever. I also lymph nodes throughout body. They are and fixed, and they are quickly. I am scared that I lymphoma.'",Mediastinal Changes
"'I had a fever and sweats a while. I also have a cold with a runny nose and sore throat. I have swollen lymph in my neck other places. hard and painful, and they are growing rapidly. I wonder if have lymphoma another serious disease.'",Mediastinal Changes
"My chest hurts lot. ' s a sharp and stabbing pain that gets worse when I lie down or cough. I to sit up and lean forward to feel better. I also have pain my, neck, and left shoulder. I a dry and a fever. I feel my pounding and I.",Mediastinal Changes
"' s like knife stabbing in the chest. is worse when, or breathe deeply. It ' s easier when I sit lean forward. I have fever, cough and.",Mediastinal Changes
"I have a, a nose, a, throat, . I have swollen lymph all over my body, they ' re hard and, and they grow fast. I ' I ' ve got or lymphoma.",Mediastinal Changes
"'I had fever and sweating at for a, and I also had a cold, a nose and inflammation, lymphoma swelling around my neck elsewhere, which was difficult and painful and growing rapidly, wanted to if was suffering from or other serious diseases.'",Mediastinal Changes
"'I am week upon me, my heart is consumed, and I am fallen upon me: then in heart the sons of men, they spake against; I vision, and behold a vision.'",Mediastinal Changes
"' ve been a lot disease lately, I ' ve a nose, an ulcer, a fever, and ' ve the is swelling over my body.",Mediastinal Changes
"'My chest stabbed by a knife. It when I cough, or breathe deeply. It feels better when I sit down and lean forward. difficulty breathing when I go to bed. I also fever dry cough. I palpitations and anxiety.'",Mediastinal Changes
'I have severe unsteadiness for weeks. I often lose balance and fall down. I also have trouble speaking and understanding what people say to me. get a pain my head that makes me lose my vision.',Mediastinal Changes
"I was stricken with a spirit in the inward parts. I laid a fast, and saw there. It became a burden to put on my head, and it didn't lift up. I put my feet on my shoulder, and my feet in the midst of my feet.",Mediastinal Changes
"There ' s a pain in my chest that worse when deeply or lie down. It ' s when I sit up and bend forward. I have pain in my back, neck, left shoulder. I have a dry cough and fever. I have and anxiety.",Mediastinal Changes
"I have this stabbing in my that gets worse I or. It ' s hard to I down, so have to sit up and lean forward. I also have a fever and a dry. I feel very anxious and tired.",Mediastinal Changes
I have weakness and numbness in both arms and. I can ' t move them well. I also have a headache that is very. It makes sweat and shake. I have a vision loss. I can ' see in the center of my. trouble speaking and understanding others.,Mediastinal Changes
"There ' s a stabbing pain in my chest that worse when I breathe deeply or lie down. ' s better when I and bend forward. also have pain in my back, neck, left shoulder. I have dry cough and a fever. I also have.",Mediastinal Changes
I have a weakness and in both sides my face. I ' t well. I have a headache that is very bad. It makes me cry and scream. I also have a loss. I can ' t see anything in the corners of my vision. have trouble understanding others.,Mediastinal Changes
"Have this acute pain my chest that more when cough, or lie down flat. It ' s better when I sit down and lean forward. I find it difficult to breathe when I lie down. have a cough and fever.",Mediastinal Changes
I a severe unsteadiness that makes me stumble and trip. I have a headache that is very. It me flashes and spots. I also have a and numbness in my right and. ' t speak or understand others well.,Mediastinal Changes
I have a terrible that doesn ' t go away. makes me vomit faint. I also have vision loss. I can ' t see on my right side. I have a weakness numbness in my right arm leg. can ' t speak or understand well.,Mediastinal Changes
I have weakness and inaction on my side: I can ' t move well. I also a bad headache. It makes me cry. I also a loss of vision. ' t see anything the of my vision.,Mediastinal Changes
"'Was also by night, and there was a light in the night, and I a tempest in the night: I my head, neither was any strength in me; I wondered, and I felt in it.'",Mediastinal Changes
I ' been having difficulty lately. I can ' t the words. I also get confused easily and forget. I have a severe headache that throbs in temples. My vision is also affected. I see flashes of light dark spots.,Mediastinal Changes
"I ' been sore my chest that it ' worse to cough, swallow, or lie down. It ' s sit and lie. It ' hard to breathe, and, sometimes it ' tight.",Mediastinal Changes
"I had a serious state of instability, which made me and. I had very bad headache. It color shape. I had weaknesses and numbness my arms and legs. I spoke didn ' t anyone else ' s words.",Mediastinal Changes
"It ' s a knife in my chest. When I cough, swallow or, gets. I sit forward, it gets. I fever, dry cough anxiety. I have breathing, breathing difficulties, swollen legs and.",Mediastinal Changes
"'For flesh has on my head, and you have made sick, I him to been sick. I have not been careful in a vision nor in a; neither have I spoken them, that I see a vision, and its arm;'",Mediastinal Changes
"I ' ve been sick a long. I have fever and night sweats. I also have a cold rough nose and a painful throat. I felt bumps in my neck and other parts of my body. They were lymph nodes. They were hard fixed, and they grew up fast. I thought it could be serious condition.",Mediastinal Changes
"'I have a with runny, sore throat, and a fever. I also swollen lymph nodes over my body. They are hard and painful, are growing fast. I am worried have cancer or lymphoma.'",Mediastinal Changes
"I a terrible yesterday. It was so that I couldn ' see anything. also felt very and my left side. I tried to talk to my, but she said I slurring my words. I was so confused and scared.",Mediastinal Changes
"Chest feels like it ' s stabbed by a knife. It more when I cough, swallow, or take deep breaths. It feels better when I sit up and lean. I have difficulty breathing when I down. I also a fever and a dry cough. have palpitations too.",Mediastinal Changes
"'Am not worthy of the least of my, neither is my heat: I cover all my sins; neither is there any healing of my: whence comest came, not be healed?'",Mediastinal Changes
"'Had a cold. I had a runny nose, a sore throat, a fever. I also that my lymph nodes were enlarged and hard. They were my body, not just in my neck. were fast - fixed and growing fast. I was it was cancer something like.'",Mediastinal Changes
"'I had a fever sweating at night for a while, and I also, a nose inflammation, a, swelling of my neck and elsewhere, and I to know if I was suffering lymphoma other serious diseases.'",Mediastinal Changes
"'Am sick of a long time, and; I full of heat, of a deep sleep: and I am become a, and not able rise in my loins; and they shall smite body, and I shall not be weary.'",Mediastinal Changes
"'I have fever and sweats for a few weeks. I also have a cold with runny nose a throat. I have swollen lymph nodes in my neck and areas. They are hard and fixed, they are growing rapidly. I wonder if have lymphoma or another serious.'",Mediastinal Changes
"I ' ve had a and night sweat weeks, and I also have a cold with nose of a and a sore throat, and a lymph nose swollen my neck and areas, which are and stable, and growing, and I if I have a lymphoma or another serious.",Mediastinal Changes
I have a very sharp headache. It feel dizzy sick. I have a loss of vision. I ' see anything on my side. I also weakness and numbness in my left and leg. I difficulty talking and understanding others.,Mediastinal Changes
"'Have a runny nose, a sore throat, fever. also swollen lymph nodes throughout my body. They are hard and fixed, and they are quickly. I that I cancer or lymphoma.'",Mediastinal Changes
"Had terrible headache. was so bad that I couldn ' t anything. I also felt weak and numb on left side. I tried to to my wife, but she said that I was flouting my words. I so confused and.",Mediastinal Changes
There ' s a severe pain in my and my neck doesn ' t away. It me I breathe deep or lie on my bed. feel better when myself with some pillows. I feel so tired and I low fever. I also noticed some in my ankle and feet.,Mediastinal Changes
"'My silver shall not strive with a rod of silver; if I walk, I shall not rise: when I walk, I shall not arise; when I sit down, I shall not arise: when I awake, I shall be weak with my hands.'",Mediastinal Changes
I a weakness and numbness in both sides of my face. can ' t move them. I have a headache that is very bad. It makes me cry and scream. also have loss. I can ' t see anything in the of vision. I have trouble and understanding others.,Mediastinal Changes
"'Have a cold with a runny nose, a sore throat, and a fever. I also have swollen nodes all. They are hard and fixed, they are growing fast. I am I have or.'",Mediastinal Changes
"I have this pain of stabbing chest, which when I cough or swallow. It ' s hard to breathe when lie down, so I have to down and lean forward. I also have a fever a dry cough. I my heart is accelerating I ' m worried.",Mediastinal Changes
"I have sharp and prickly pain in my chest, and it hurts even more when I cough, swallow or breathe. Sit down and lean forward and feel better. It's hard to breathe when I lie down. I have fever and dry cough. I have feelings and anxiety.",Mediastinal Changes
"I stabbing pain in my chest that gets worse when I lie flat or deeply. It ' s better when I sit up forward. I also pain in my, neck, and left shoulder. I have a cough and trouble breathing when I lie down. I feel very and anxious. I have fever and swelling in my legs and feet.",Mediastinal Changes
"Am many stumble against me, and have made all the head wicked. I have seen all the wickedness of the wicked in me (and I weary arm ); and I ' t hold my peace, because there is no other man ' s.",Mediastinal Changes
"Have nose cold, ulcer, fever, and also swollen lymph all my body, solid and and fast, I ' m worried have cancer or lymphoma.",Mediastinal Changes
"When I say to you, ' nothing in my body, ' when I lie down in womb; I still, and I am bowed down, I shall be stirred; shall be, and I shall mad.",Mediastinal Changes
"'I have cold a runny nose, a sore throat, and a fever. have swollen lymph nodes all my body. are hard and sore, and they are. I worried that I have cancer lymphoma.'",Mediastinal Changes
I so weak and my right arm and my leg. I ' t move it properly. I also a constant headache that doesn ' t go far. My vision confused can ' t see clearly. I ' t know what ' wrong with me.,Mediastinal Changes
"'For the past few weeks, I have had night sweats a fever. I also cold with and a sore throat. When I checked my neck, I felt lumps that were hard and growing fast. I think they are swollen nodes. Could it lymphoma?'",Mediastinal Changes
"I stab wound in my chest, and when I down or take a breath, the pain increases. I sit down bend. My left shoulder has pain and. I ' m very anxious my very high. My body temperature is very high.",Mediastinal Changes
"' ve had a fever and night for a while, I also have a cold the of the runaway and a sore throat, and the lymph nose in my and elsewhere, is solid ulcer, and growing fast, I wonder if you have lymphoma or other serious illness.",Mediastinal Changes
"'I a sharp and stabbing pain in my chest that hurts more when lie flat or cough. I have to sit and lean forward to feel better. I also have in my back, neck, shoulder. I have a dry and breathing when I lie down. I feel very and anxious. I have a fever and in my legs and feet.'",Mediastinal Changes
"'I had a fever and sweating night for a, I also had a cold, a throat inflammation, lymphoma around my neck and, which was difficult and painful and growing, and I to know if I suffering from lymphoma or other serious diseases.'",Mediastinal Changes
"There ' a sharp and stabbing pain my that hurts more when I, swallow, or take breaths. It feels better when I sit up and lean forward. I also have breathing when I lie down. I have a dry and a. I also palpitations anxiety.",Mediastinal Changes
"My chest feels like it ' being stabbed by a knife. It when I cough, swallow, or take deep breaths. It feels better I sit up lean forward. I have difficulty breathing when I lie down. I also fever and a dry cough. I have and.",Mediastinal Changes
"'Have a runny nose, a throat, and a fever. I have throughout my body. They hard and fixed, and they growing quickly. I scared that I have or lymphoma.'",Mediastinal Changes
"Was stricken with in the inward parts. I laid a fast, saw. It became a burden to put my, and it didn ' t lift up. I put my feet on my shoulder, and feet the of my feet.",Mediastinal Changes
I can ' t walk straight without falling. also difficult talk and what people are telling me. I a headache that makes me. My vision also altered. I see double and sometimes nothing at.,Mediastinal Changes
"'I cold with a runny nose, sore throat, and a fever. I also have lymph nodes my body. They are hard and fixed, they are fast. I am I have cancer or lymphoma.'",Mediastinal Changes
Have weakness numbness in both arms and legs. I can ' t move it well. I have a very bad headache. It makes sweat shake. I also have loss vision. I ' t anything in the center of my vision.,Mediastinal Changes
'I also have a loss of vision. I see nothing at the center of my vision. I also have a weakness and numbness in both arms and legs. I find it difficult to speak and understand others.',Mediastinal Changes
"Over the few weeks, ' ve been sweating, ,, nose and throat, headaches, headaches. I checked, I felt some swollen and fast growing. thought they were swollen, . Is lymphoma?",Mediastinal Changes
'I also have a loss of vision. I see the corners of my. I weakness and in both of my face. I have speaking understanding others.',Mediastinal Changes
I that makes me fall. I also have a very bad headache. It makes me flashes and spots. My right arm right leg are weak and numb. I ' good at talking or understanding people.,Mediastinal Changes
"'Got a cold recently. had a runny nose, a sore throat, and a fever. I also saw that my nodes were enlarged hard. They were all over my body, not in my neck. were fixed and growing. I was afraid cancer or something like that.'",Mediastinal Changes
"'I a and night sweat a few weeks. I have a cold with a runny nose and a sore throat. I have swollen lymph nodes in my neck and areas. are and fixed, they grow up. I wonder if I have lymphoma or other disease.'",Mediastinal Changes
I have a weakness and numbness in my left arm and leg. I can ' t move them. I also have a headache is bad. It me dizzy and nauseous. also a vision loss. I can ' see anything on side. have trouble speaking and understanding others.,Mediastinal Changes
"'I have been sick for long time. I have a fever and night sweats. I also have a cold with a runny nose and a. I have swollen lymph in my neck and other my body. They are hard and painful, and they are growing fast. I think have lymphoma or another serious.'",Mediastinal Changes
"'I a fever and night sweat a while. I also have a cold with runny nose a throat. I have swollen lymph nodes in my neck and elsewhere. are hard painful, and they grow up fast. I wonder if have lymphoma or some other.'",Mediastinal Changes
"My chest hurts so much, it's a severe pain and it gets worse when I lie down or cough, I have to sit and lean forward to feel better, and I also feel pain in my back, my neck, my left shoulder, I have a dry cough and a fever, my heart beats and I feel scared.",Mediastinal Changes
"'I have a cold a runny nose, a sore, and a. I also have swollen lymph nodes all over. They are hard and fixed, and they fast. I am worried I cancer lymphoma.'",Mediastinal Changes
I have a severe comes and goes. It feels like someone is hammering my skull. I also seeing. I see light colors. I also have a weakness numbness in my right side. I can ' speak understand others well.,Mediastinal Changes
"For my back was a sharp sword, whereof I couldn't go; and when I lay on my bed, they are more than dry than I; when I awake, they see my feet; because my feet were consumed with heat, and my feet were filled with burning.",Mediastinal Changes
'I also have a headache that is very bad. It makes me see flashes and spots. I also have weakness and numbness in my right arm and leg. I cannot speak or understand others well.',Mediastinal Changes
"My is inflamed, my is, my fever is, my body so, it ' s, I ' m of or lymphoma.",Mediastinal Changes
"There ' s a stabbing my chest that worse when I breathe deeply or. It ' s better when I sit up bend forward. I also have pain in my back, neck, and left. I have a dry and a fever. I also have anxiety.",Mediastinal Changes
Feel very and numb right arm and leg. I can ' t move them properly. I also constant that won ' t go away. My vision is I ' t see clearly. I don ' t know what ' s wrong with me.,Mediastinal Changes
'I have a chest pain that more I cough or lie flat.',Mediastinal Changes
"The back the neck are sore that they ' disappear. When take a deep breath or lie on my bed, it hurts more. I up with pillow feel better. I feel very tired and have a low fever. I also notice that the ankles and are swollen.",Mediastinal Changes
"'I have sharp and pains in my, which are worse when I lie down or cough. I to sit and lean to feel better. I have pains in my back, neck and left. have problems with coughing and breathing lie down. I feel very tired and anxious. legs are and swollen.'",Mediastinal Changes
"My chest lot. ' s a sharp and stabbing pain that worse when I swallow, cough or down. It feels better when I up lean. I have fever, a dry cough and anxiety. I also have trouble breathing and.",Mediastinal Changes
"'I didn \' t when yesterday, or yesterday, but I \' t see what was; told me, saying, "" My is, and I haven \' t known her. ""'",Mediastinal Changes
"'When I, I am not in belly, belly: I down, and I am not sick; am of, but am full of heat.'",Mediastinal Changes
"'My to death, it death, it hurts to death, it, it is, it blind, it is blind, it is numb on sides of my face, it is hard to speak and it is hard to understand.'",Mediastinal Changes
"'I had a fever and at night for a while, and I also a cold, a, throatache, swelling of my neck and lymphoma elsewhere, and I know if was suffering from lymphoma or serious diseases.'",Mediastinal Changes
"I cold, a nose, a nose, throat, . I have swollen knots, ' re hard and, and they grow. I ' m afraid I ' ve got or lymphoma.",Mediastinal Changes
I have stabbing pain in my chest that gets worse when I lie flat or breathe deeply. It ' when I sit up and bend forward. I in my left shoulder and a. I anxious and I have palpitations. I have a high temperature too.,Mediastinal Changes
"'I seem to have been stabbed in the chest, the pain is worse when I lie down or take a deep breath, and I have to sit down to ease the pain, and I have coughing, fever and anxiety, and my legs, feet and ankles are swollen.'",Mediastinal Changes
'I have a that makes me wobbly. also a very headache. It makes me colors and conditions. I also have weakness and weight in arms legs. I cannot speak understand others well.',Mediastinal Changes
"I have a stabbing pain in my chest gets when I lie flat or breathe deeply. It ' s better when I sit up and. I also have pain in my back, neck, and left shoulder. I have a dry cough and breathing when I down. I feel very tired and anxious. I a fever swelling my legs feet.",Mediastinal Changes
I a severe headache that is very painful. It me dizzy sick. I also a loss. I can ' t see anything in the of my vision. I also have weakness and numbness in both and legs. I have trouble and understanding.,Mediastinal Changes
"I a serious makes fall a lot. I have a serious. makes me see, sleepy. My arm and legs are weak and numb. I ' t speak or understand anyone else.",Mediastinal Changes
"I had a. It was bad that I ' t anything. I also felt very weak and numb on my side. I tried to talk my wife, but she said was slurring my words. I was so confused and.",Mediastinal Changes
"I have a cold, , fever, and I also swollen the lymph all over, steady and, and I ' m worried I have or lymphoma.",Mediastinal Changes
"'I have had a fever and sweats for a while. have a cold with a runny nose and a sore throat. have swollen lymph nodes in my neck other places. are and, and they are growing rapidly. I wonder if I lymphoma or another serious.'",Mediastinal Changes
"I was a spirit in the parts. laid a, saw there. It became a burden to put on my head, and it didn ' t. I my feet on my shoulder, and my feet in the midst my feet.",Mediastinal Changes
"'I have a sharp and stabbing pain in my chest that hurts more when I flat or cough. I have to sit up lean forward to feel. also have in my back, neck, and left shoulder. I have dry cough and trouble breathing when I lie down. I feel and anxious. I have a fever and in my legs and.'",Mediastinal Changes
"My feels like I ' stabbed by. It ' s worse when I lie down or deeply. I sit and bend forward to relieve the. I also have a dry cough, fever anxiety. My, feet and ankles are swollen.",Mediastinal Changes
"'I not worthy of the least my nostrils, neither is my heat: cannot cover my sins; neither is there of my: from whence I, and I could not be healed?'",Mediastinal Changes
There's a severe pain in my back and my neck doesn't go away. It hurts me more when I breathe deep or lie on my bed. I feel better when I support myself with some pillows. I feel so tired and I have low fever. I also noticed some swelling in my ankle and feet.,Mediastinal Changes
"I was stricken with in inward parts. I a, saw there. It a burden to put on head, and it didn ' t lift up. I put my on my, and my feet in the midst of my feet.",Mediastinal Changes
"'Chest feels knife. Pain is worse when I lie down breathe deeply. I sit and bend to relieve pain. I also have a dry cough, fever and anxiety. My legs, and ankles are.'",Mediastinal Changes
"For a long time, I ' ve been feeling sick, I have, I ' sweating at night, I ' ve got a, my nose is broken, throat sore, my neck and other are swollen, hard, , fast. I I might have lymphoma or.",Mediastinal Changes
"I am weak and weak. walked my arms. I am full of the head of the wicked; I can ' t bear heart the wicked. I have the the needy, and I ' t speak the knowledge of vision.",Mediastinal Changes
I have a weakness and numbness in both sides of my face. I can't move them well. I also have a headache that is very bad. It makes me cry and scream. I also have a vision loss. I can't see anything in the corners of my vision. I have trouble speaking and understanding others.,Mediastinal Changes
"'I have had a night sweats for a few weeks. I have a cold with nose and a sore throat. I have lymph nodes in my neck and other areas. are and fixed, and they are growing rapidly. I wonder if I lymphoma or serious disease.'",Mediastinal Changes
"'I have been unwell for a long time. I have a fever and night sweats. I also have with runny and a sore throat. I nodes in my neck and elsewhere. They are hard and, and they growing fast. I think I might have lymphoma or another serious condition.'",Mediastinal Changes
I severe unsteadiness that me trip. have a headache that is very bad. It makes see flashes and spots. I also have a weakness numbness in my right arm and leg. I can ' t speak or understand well.,Mediastinal Changes
I have a weakness and numbness in my left arm and leg. I can't move them well. I also have a headache that is very bad. It makes me dizzy and nausea. I also have a loss of vision. I don't see anything on my left side. I find it difficult to talk and understand others.,Mediastinal Changes
I have severe that is very painful. It makes me and sick. I also loss. I can ' t see anything in the center my vision. I also a weakness and numbness both arms and. I have trouble speaking and understanding others.,Mediastinal Changes
"There's a sharp and stabbing pain in my chest that hurts more when I cough, swallow, or take deep breaths. It feels better when I sit up and lean forward. I also have trouble breathing when I lie down. I have a dry cough and a fever. I also have palpitations and anxiety.",Mediastinal Changes
"'I have my chest, more pain I down or when breathe, better when sit down, and pain in back, neck and left shoulder. I have problems coughing and breathing when I lie down, and I feel very tired and anxious, and I have a fever.'",Mediastinal Changes
"I a cold, nose, , a fever. I have swollen lymph knots over body. These knots are hard, fast. I ' m afraid I have lymphoma.",Mediastinal Changes
"Have a nose cold, , fever, and I also swollen all over my body. It ' s painful, and ' s growing fast. I ' m worried having cancer or.",Mediastinal Changes
"'For weeks, I have had fever sweat, I have a cold, a broken nose, a sore, swollen and other places, hard, , - growing lymphoma or other diseases, and I want to if have lymphoma or any other serious.'",Mediastinal Changes
"I when was amazed, and behold, a sharp sword in ark, and it was no. I sat, couldn ' t. , when I sit on my throne, my heart.",Mediastinal Changes
"My chest hurts lot. It ' s a and stabbing pain that gets when lie down or cough. have to sit up and lean forward to feel better. I also have pain in my back, neck, left shoulder. a dry cough and a. I feel my pounding and I get scared.",Mediastinal Changes
"Chest a lot. It ' s a sharp and stabbing pain that worse when I down or cough. have to sit up and forward to feel better. I also have pain in my back, neck, and shoulder. I have a and a fever. I feel my pounding and I get scared.",Mediastinal Changes
"I had a terrible headache yesterday. It was so bad that I couldn ' t see. I also very weak and numb on left side. I tried to talk to my wife, but I was words. was so confused.",Mediastinal Changes
I have a weakness and numbness in my right arm and leg. ' them well. also have a headache that is very. It makes me faint and. I also have a vision. I ' t see anything on my right side. I trouble speaking and understanding others.,Mediastinal Changes
"For my ark, my sword is off, and my sword iniquity. As for me, can ' t be cut off. have hope in the midst of yoke, , I will put yoke my shoulder.",Mediastinal Changes
"I a severe headache, which makes me faint and vomit. My right arm and right leg are weak, can ' t move well. I lose my. I can ' t see on my right. It ' hard for me to talk and understand.",Mediastinal Changes
"I ' ve got this in my chest that hurts more when breathe, cough or lie flat. It ' s better when I sit up and forward. I have a dry cough, a fever and anxiety. I have breathing, palpitations swelling legs and feet.",Mediastinal Changes
"'I had fever and night sweat for a few weeks. also have a a runny and a sore throat. I have swollen lymph nodes in my neck and other areas. They hard and fixed, and they fast. wonder if I have lymphoma or serious disease.'",Mediastinal Changes
"There's severe pain in my back, my neck, and my left shoulder hurts more when I take a deep breath or lie on the floor.",Mediastinal Changes
I have a severe headache that and goes. It someone is hammering. I also have trouble seeing. I see flashes of light and colors. I have a weakness and in right side. I ' t speak or others well.,Mediastinal Changes
"I have a terrible headache, I can't walk, I vomit, I faint, I lose sight, I can't see anything on the right side, I have a weakness and numbness in my right arm and right leg, I can talk or I can't understand anyone else.",Mediastinal Changes
I have severe unsteadiness that me sway and wobble. I also have a headache very bad. It makes me see colors and shapes. also have weakness and numbness both arms legs. I can ' t or understand others.,Mediastinal Changes
"I am weary, and of, and I ' t speak: I will speak of it; neither I the head of the wicked: I ' see vision, nor make supplication to me.",Mediastinal Changes
I have and on my: I can ' t move them. I also have a very bad. It makes cry and scream. I also have a loss of vision. I can ' the corners of my vision.,Mediastinal Changes
"I have this acute pain in my chest that hurts me more when I breathe deeply, cough or lie flat. It's better when I sit down and lean forward. I have a dry cough, fever and anxiety.",Mediastinal Changes
"I ' ve been having this pain my chest that ' s sharp and. It gets worse when I cough, swallow, lie. I feel more comfortable when I sit and lean forward. I also have breathing when I lie down. I a dry cough and a fever. feel my heart beating fast and I get.",Mediastinal Changes
"A long time, I ' ve been feeling sick, have fever, I ' m at night, I ' a cold, nose is broken, my throat is sore, my neck and other places are lymphoma swollen, hard, fixed, fast. I I have or something.",Mediastinal Changes
"' s a stabbing pain in my chest that gets worse when deeply or down. It ' better when I and bend forward. I also have pain in my back, , and left shoulder. I a dry cough and a fever. I also have and anxiety.",Mediastinal Changes
"'I have had a fever and night sweats for a. I have a cold with a runny nose and sore throat. have lymph nodes in my neck other. They are hard and fixed, and they growing. I wonder if I have lymphoma or another serious disease.'",Mediastinal Changes
I have a weakness and numbness in my right arm leg. can ' t move them well. I also a headache that is bad. me weak vomit. I also a loss of. I don ' t see anything on my right side. I find it difficult to talk understand others.,Mediastinal Changes
I have severe unsteadiness that makes stumble and trip. I also have headache that very bad. It makes me and spots. I also have a weakness and in my right arm and. ' t speak or understand others well.,Mediastinal Changes
"'I have a cold with a runny nose, a sore throat, . I also have swollen over my body. They are hard and sore, and they growing fast. am worried that I have lymphoma.'",Mediastinal Changes
"I have this pain in my chest that when I cough, swallow or lie down. ' s better when I sit down and lean. I also it difficult breathe when I lie down. I have dry cough a fever.",Mediastinal Changes
"I have had a fever and night sweats for a while. I also have a cold with a runny nose and a sore throat. I have swollen lymph nodes in my neck and other places. They are hard and painful, and they are growing rapidly. I wonder if I have lymphoma or another serious disease.",Mediastinal Changes
